"","Age group","Sex","Cause","Deaths added"," Deaths added ll","Deaths added ul"
"1","All ages","Both","Transport",448.176562410408,394.034928096633,501.073995630738
"2","All ages","Both","Falls",-131.026805669359,-193.014531993961,-68.396100011217
"4","All ages","Both","Drownings",143.402363809453,129.959975768056,156.649466789659
"5","All ages","Both","Intentional self-harm",315.259728865529,255.893941451346,375.1674775327
"6","All ages","Both","Assault",164.863106563046,128.511423321301,201.374749173776
"7","0-4","Male","Transport",5.54501880456254,3.06015927354987,8.14166607152747
"8","0-4","Male","Falls",0.112740880358696,-0.177590437551531,0.406437802936616
"10","0-4","Male","Drownings",9.20412321373649,5.63341114990427,12.6232823982814
"11","0-4","Male","Intentional self-harm",0,0,0
"12","0-4","Male","Assault",1.10697564976822,-1.94987894943733,4.19397944069862
"13","5-14","Male","Transport",4.81192369052016,0.888010035399161,8.90072473737126
"14","5-14","Male","Falls",0.138971352908671,-0.119757253225345,0.404121875949253
"16","5-14","Male","Drownings",10.2412744142711,7.75045838173846,12.760362569915
"17","5-14","Male","Intentional self-harm",1.47602519471119,-1.6852648314518,4.70437487063862
"18","5-14","Male","Assault",1.15914762915669,-0.605087146435278,2.99195763158699
"19","15-24","Male","Transport",76.0315959194958,58.5539912463191,93.6399260947789
"20","15-24","Male","Falls",2.28385250859717,0.476939736643371,4.13279457977998
"22","15-24","Male","Drownings",40.3419333390496,35.348508326857,45.3696408866529
"23","15-24","Male","Intentional self-harm",20.3524819627525,2.60146983879708,37.7830810674332
"24","15-24","Male","Assault",37.73596392683,17.7189992588637,58.3135985167934
"25","25-34","Male","Transport",70.6881649396948,50.6832531315351,90.2981299236968
"26","25-34","Male","Falls",3.31671069287091,0.582177380372442,6.20215016200335
"28","25-34","Male","Drownings",24.6325273492587,20.0072887789528,29.315640389219
"29","25-34","Male","Intentional self-harm",40.6833738606328,19.7247034031477,62.2476717229915
"30","25-34","Male","Assault",55.1955290579134,35.1065243813231,76.1979956889137
"31","35-44","Male","Transport",47.9727516334797,32.0471758201443,64.3327267543649
"32","35-44","Male","Falls",2.37479801360685,-1.44052187973974,6.29786652908647
"34","35-44","Male","Drownings",14.7547704739201,10.769740252845,19.0866725799496
"35","35-44","Male","Intentional self-harm",46.9389412158561,27.5006497116877,67.1802670792215
"36","35-44","Male","Assault",18.0734258346112,4.171360734174,32.1116221037334
"37","45-54","Male","Transport",64.9589330061804,46.687819938382,83.4972605531526
"38","45-54","Male","Falls",3.63232885395036,-3.47748282822499,10.5886955589913
"40","45-54","Male","Drownings",11.7129388010024,6.97558792559529,16.6858689379441
"41","45-54","Male","Intentional self-harm",36.0835035868596,12.2298141701632,59.6052555157515
"42","45-54","Male","Assault",9.02761555203655,-1.06127875438853,19.0738953919011
"43","55-64","Male","Transport",72.8105239155532,51.45999592777,93.8993903536972
"44","55-64","Male","Falls",-16.0053180888369,-29.112084550241,-2.75614954283377
"46","55-64","Male","Drownings",8.33500714471221,3.56392190889613,13.1983891320739
"47","55-64","Male","Intentional self-harm",58.2130330106897,33.8107493842929,84.0272863745674
"48","55-64","Male","Assault",9.44519781772598,1.46948062668166,17.5884054821407
"49","65-74","Male","Transport",22.9215006768577,7.75406431505429,37.9761166336672
"50","65-74","Male","Falls",-5.67567138181241,-22.8037979937871,11.3737391200664
"52","65-74","Male","Drownings",5.73414544342878,2.18078778865731,9.34526856305409
"53","65-74","Male","Intentional self-harm",26.1632707331179,9.3639959901482,42.9015845897596
"54","65-74","Male","Assault",2.03615133767051,-1.86490827990739,5.8626670007767
"55","75-84","Male","Transport",16.0164775059929,5.33424728006022,26.1392743437292
"56","75-84","Male","Falls",-31.0585143434633,-52.8939246756809,-8.99605880899128
"58","75-84","Male","Drownings",2.84455343360365,0.546829617797055,5.19690379744142
"59","75-84","Male","Intentional self-harm",13.608725866428,1.54498696882642,25.5349547450417
"60","75-84","Male","Assault",0.772437539501632,-1.12798322725621,2.72965629028191
"61","85+","Male","Transport",3.63837417159172,-3.53937409203356,10.7661136618477
"62","85+","Male","Falls",-45.7034540414467,-76.2451450319364,-15.4104013975154
"64","85+","Male","Drownings",0.410024904479944,-0.664162473490699,1.49383177481542
"65","85+","Male","Intentional self-harm",9.33887897881423,0.6350112796099,17.8711197038583
"66","85+","Male","Assault",0.296720568165353,-0.311831436327931,0.91611527632929
"67","All ages","Male","Transport",385.395264263929,338.794892235504,431.278789058203
"68","All ages","Male","Falls",-86.5835555532666,-129.552481190202,-43.5701360035849
"70","All ages","Male","Drownings",128.211298517463,115.663346191025,140.852959862914
"71","All ages","Male","Intentional self-harm",252.858234409862,200.28450664659,306.087961257037
"72","All ages","Male","Assault",134.84916491338,100.099067353675,169.851220909305
"73","0-4","Female","Transport",1.48228899789694,-1.04957269948134,4.0524162637635
"74","0-4","Female","Falls",0.0827902853228893,-0.041759809837912,0.211462248497822
"76","0-4","Female","Drownings",3.42104008136939,1.30860783888538,5.58692511148912
"77","0-4","Female","Intentional self-harm",0,0,0
"78","0-4","Female","Assault",2.92164776969847,-0.136000073235431,6.04379157997474
"79","5-14","Female","Transport",4.47221412909093,1.13876891730999,7.88871529009105
"80","5-14","Female","Falls",0.0276073780684089,-0.0179695473856698,0.0757634408085403
"82","5-14","Female","Drownings",3.38397458571564,1.82911385548689,5.04687321542189
"83","5-14","Female","Intentional self-harm",2.56565648827321,0.292897676361119,4.91534621239899
"84","5-14","Female","Assault",0.951983837661366,-0.474160958586822,2.385401819323
"85","15-24","Female","Transport",17.5638418151819,7.90761787977513,27.7351188730453
"86","15-24","Female","Falls",0.226424938563884,-0.362036141782433,0.833363140759002
"88","15-24","Female","Drownings",0.735096636564123,0.0163645075335696,1.44344970278004
"89","15-24","Female","Intentional self-harm",7.46123183450228,-1.11717548133657,16.2699200632286
"90","15-24","Female","Assault",8.70839207524766,3.48462033373415,13.9644423712087
"91","25-34","Female","Transport",4.47544210575688,-5.52403040804081,14.7905931950381
"92","25-34","Female","Falls",0.694146395033029,-0.132518781289104,1.52640466495311
"94","25-34","Female","Drownings",1.78934777355636,0.676352840542849,2.84290208460342
"95","25-34","Female","Intentional self-harm",12.2664873674067,2.40277108786609,22.3076583333853
"96","25-34","Female","Assault",2.32695349433927,-3.62191056745599,8.41916899276883
"97","35-44","Female","Transport",4.39834063259901,-3.32268171321168,12.3376920966218
"98","35-44","Female","Falls",0.104229406177463,-1.22367903058222,1.44409879505269
"100","35-44","Female","Drownings",1.13811947894846,0.298462532635989,1.98563462040374
"101","35-44","Female","Intentional self-harm",10.5583610413462,0.0140543333404054,21.0918158040557
"102","35-44","Female","Assault",6.86214512639215,1.85291666116148,12.1648290752965
"103","45-54","Female","Transport",4.80411200094683,-4.99622045444577,14.8115672587941
"104","45-54","Female","Falls",0.353116431752195,-3.3612150934381,4.04344678031702
"106","45-54","Female","Drownings",1.72320169191323,0.167602937854149,3.31744733581048
"107","45-54","Female","Intentional self-harm",8.94263675979757,-4.32699400018602,22.3635803641349
"108","45-54","Female","Assault",4.29997828439473,-0.462832242437292,9.23313205753028
"109","55-64","Female","Transport",2.54533192504609,-6.64775247039741,12.0322010885393
"110","55-64","Female","Falls",0.666237944261868,-7.1456439425067,8.3820927723763
"112","55-64","Female","Drownings",0.828079857275541,-0.969058348940354,2.62915243646452
"113","55-64","Female","Intentional self-harm",10.7012003243554,-3.26487018799079,24.5944097311041
"114","55-64","Female","Assault",1.96711762852561,-1.96913203194407,5.90943664842098
"115","65-74","Female","Transport",11.77346001484,3.6870030624694,19.6640867605692
"116","65-74","Female","Falls",-3.39619768502833,-15.8150004560374,9.16389538233353
"118","65-74","Female","Drownings",1.36044798581871,-0.0677604497647659,2.797017097259
"119","65-74","Female","Intentional self-harm",8.69942286979734,0.562970454845338,16.8821149617536
"120","65-74","Female","Assault",1.2314395638979,-0.905564644004176,3.43462663471005
"121","75-84","Female","Transport",6.5761058163184,-0.377924518382428,13.2983000530384
"122","75-84","Female","Falls",-2.67851593539639,-23.1824967847102,17.4041713783221
"124","75-84","Female","Drownings",0.691077549031637,-0.333912314561009,1.7138239501431
"125","75-84","Female","Intentional self-harm",0.0645998922883247,-3.76949551068101,3.81456326958554
"126","75-84","Female","Assault",0.0413003212356081,-1.32592391871505,1.49700341452859
"127","85+","Female","Transport",4.69016070880166,-0.656141312330744,10.0394686309708
"128","85+","Female","Falls",-40.5230892748478,-78.9317949269965,-3.5829835543328
"130","85+","Female","Drownings",0.120679651797384,-0.445094222597157,0.714045000225623
"131","85+","Female","Intentional self-harm",1.1418978778994,-0.771493863983242,3.11243372127373
"132","85+","Female","Assault",0.702983548273402,-0.434799495005826,1.87606069854607
"133","All ages","Female","Transport",62.7812981464786,38.5259990379149,87.7463026611455
"134","All ages","Female","Falls",-44.4432501160928,-88.7924132553561,1.58554838192433
"136","All ages","Female","Drownings",15.1910652919905,10.7946410050926,19.4297744809203
"137","All ages","Female","Intentional self-harm",62.4014944556665,34.966114227617,88.7215317701833
"138","All ages","Female","Assault",30.0139416496662,17.81006194308,42.1324397440423
"139","0-4","Male","Intentional",1.10697564976822,-1.94987894943733,4.19397944069862
"140","0-4","Male","Unintentional",14.8618828986577,10.5950462383668,19.1210394768647
"141","0-4","Female","Intentional",2.92164776969847,-0.136000073235431,6.04379157997474
"142","0-4","Female","Unintentional",4.98611936458922,1.67442797737712,8.19134197014938
"143","5-14","Male","Intentional",2.63517282386788,-0.882552555472212,6.28165548887397
"144","5-14","Male","Unintentional",15.1921694576999,10.4539446057228,20.0002707583848
"145","5-14","Female","Intentional",3.51764032593457,0.818222467498882,6.16940739418605
"146","5-14","Female","Unintentional",7.88379609287498,4.21277334836295,11.7003456804075
"147","15-24","Male","Intentional",58.0884458895825,30.995522575321,85.2162710104914
"148","15-24","Male","Unintentional",118.657381767143,100.031137000299,137.093449089704
"149","15-24","Female","Intentional",16.1696239097499,6.09260290401121,26.3858066139861
"150","15-24","Female","Unintentional",18.5253633903099,8.83878822929279,28.7056160854899
"151","25-34","Male","Intentional",95.8789029185461,66.6922854900865,125.920920852158
"152","25-34","Male","Unintentional",98.6374029818244,77.9744327281351,119.204955924261
"153","25-34","Female","Intentional",14.593440861746,3.22624296569457,26.1813175429236
"154","25-34","Female","Unintentional",6.95893627434627,-3.12861060552471,17.3019642275565
"155","35-44","Male","Intentional",65.0123670504673,40.7523406683417,89.4003983156516
"156","35-44","Male","Unintentional",65.1023201210066,48.245408966393,82.1152584768047
"157","35-44","Female","Intentional",17.4205061677384,5.7882638277441,29.1866720323007
"158","35-44","Female","Unintentional",5.64068951772494,-2.24004711825428,13.7700680660108
"159","45-54","Male","Intentional",45.1111191388962,19.2914789625443,69.7545490757097
"160","45-54","Male","Unintentional",80.3042006611332,59.2678823292113,100.831098505596
"161","45-54","Female","Intentional",13.2426150441923,-1.04564719908049,27.3910177178927
"162","45-54","Female","Unintentional",6.88043012461226,-3.65056791105113,17.5519805348233
"163","55-64","Male","Intentional",67.6582308284157,41.4518762700539,94.6391577615889
"164","55-64","Male","Unintentional",65.1402129714286,40.0969380670621,89.7397252586757
"165","55-64","Female","Intentional",12.668317952881,-1.89553609212252,27.0393547214327
"166","55-64","Female","Unintentional",4.0396497265835,-8.2503899693231,16.1918792325458
"167","65-74","Male","Intentional",28.1994220707884,10.8937318268248,45.5077673523526
"168","65-74","Male","Unintentional",22.9799747384741,-0.209515818899681,45.9921555563941
"169","65-74","Female","Intentional",9.93086243369524,1.38262834597041,18.3016440748678
"170","65-74","Female","Unintentional",9.7377103156304,-5.31672695423617,24.8857073978959
"171","75-84","Male","Intentional",14.3811634059297,2.01905795113632,26.3104726343289
"172","75-84","Male","Unintentional",-12.1974834038667,-36.043168435238,11.7074745886051
"173","75-84","Female","Intentional",0.105900213523933,-3.97155634462292,4.11539637985471
"174","75-84","Female","Unintentional",4.58866742995365,-16.8858066591572,25.9142252928178
"175","85+","Male","Intentional",9.63559954697959,0.984910061922759,18.2583375396917
"176","85+","Male","Unintentional",-41.6550549653751,-72.8741863945783,-10.9519445306113
"177","85+","Female","Intentional",1.8448814261728,-0.383414571210503,4.1414769976275
"178","85+","Female","Unintentional",-35.7122489142488,-74.8643411724798,2.17630679644034
"179","All ages","Both","Intentional",480.122835428574,409.95288587687,549.791685982023
"180","All ages","Both","Unintentional",460.552120550502,376.997737042942,543.292476265616
"181","All ages","Male","Intentional",387.707399323242,322.711479964152,451.365084947796
"182","All ages","Male","Unintentional",427.023007228125,361.290830926722,492.293455671438
"183","All ages","Female","Intentional",92.4154361053326,62.5894783865771,122.082802409068
"184","All ages","Female","Unintentional",33.5291133223763,-19.2150286541953,86.2465481207212
"185","0-4","Male","All injuries",15.968858548426,10.7016017969701,21.2054107265684
"186","0-4","Female","All injuries",7.90776713428769,3.51792700383253,12.2224326853851
"187","5-14","Male","All injuries",17.8273422815678,11.8675056315228,23.8203443161185
"188","5-14","Female","All injuries",11.4014364188096,6.91396696616722,16.1360582837648
"189","15-24","Male","All injuries",176.745827656725,144.221183946936,209.457421905421
"190","15-24","Female","All injuries",34.6949873000598,20.9393534586994,49.1892729560535
"191","25-34","Male","All injuries",194.516305900371,158.93451601774,229.826632439804
"192","25-34","Female","All injuries",21.5523771360923,6.18858652780984,36.5084435580009
"193","35-44","Male","All injuries",130.114687171474,100.830387528935,160.219702524589
"194","35-44","Female","All injuries",23.0611956854633,9.32029430681052,37.5173840096346
"195","45-54","Male","All injuries",125.415319800029,91.8645319069267,158.346470105941
"196","45-54","Female","All injuries",20.1230451688045,2.88445697119403,38.3700477600382
"197","55-64","Male","All injuries",132.798443799844,96.3440837754902,170.473923690029
"198","55-64","Female","All injuries",16.7079676794645,-2.40951882965644,35.752027601159
"199","65-74","Male","All injuries",51.1793968092625,22.139942158878,79.8613624678289
"200","65-74","Female","All injuries",19.6685727493256,2.22128018424775,37.0995083601405
"201","75-84","Male","All injuries",2.18368000206294,-24.1618481381544,29.2057355340241
"202","75-84","Female","All injuries",4.69456764347759,-17.0023811378862,26.6930062168742
"203","85+","Male","All injuries",-32.0194554183955,-64.2761378618148,0.135285626994255
"204","85+","Female","All injuries",-33.867367488076,-73.1746867212592,4.15327698810441
"205","All ages","Both","All injuries",940.674955979076,831.100479801119,1052.95982134111
"206","All ages","Male","All injuries",814.730406551367,721.177912983415,909.415932382464
"207","All ages","Female","All injuries",125.944549427709,66.1950899723068,185.071297001394
