"fips","sex","age","pop","year","stateFips","countyFips"
"46113",2,85,29,2005,"46","113"
"46113",2,65,140,2005,"46","113"
"46113",2,55,235,2005,"46","113"
"46113",2,50,286,2005,"46","113"
"46113",2,45,317,2005,"46","113"
"46113",2,40,433,2005,"46","113"
"46113",2,30,467,2005,"46","113"
"46113",2,25,523,2005,"46","113"
"46113",2,20,618,2005,"46","113"
"46113",2,15,773,2005,"46","113"
"46113",2,5,677,2005,"46","113"
"46113",2,0,855,2005,"46","113"
"02280",1,15,282,2005,"02","280"
"02280",1,85,33,2005,"02","280"
"02201",2,80,26,2005,"02","201"
"02201",2,0,152,2005,"02","201"
"02280",2,80,60,2005,"02","280"
"02280",1,35,208,2005,"02","280"
"02201",2,10,202,2005,"02","201"
"02232",1,60,103,2005,"02","232"
"46113",1,80,21,2005,"46","113"
"02270",2,0,501,2005,"02","270"
"02280",1,80,46,2005,"02","280"
"02270",1,5,384,2005,"02","270"
"02232",1,70,40,2005,"02","232"
"02280",1,20,221,2005,"02","280"
"02280",2,70,66,2005,"02","280"
"02280",2,65,91,2005,"02","280"
"02280",2,55,228,2005,"02","280"
"02280",2,50,251,2005,"02","280"
"02280",2,45,321,2005,"02","280"
"02280",2,35,203,2005,"02","280"
"02280",2,20,160,2005,"02","280"
"02280",2,10,234,2005,"02","280"
"02280",2,0,157,2005,"02","280"
"02270",2,85,20,2005,"02","270"
"02270",2,80,28,2005,"02","270"
"02270",2,75,44,2005,"02","270"
"02270",2,55,112,2005,"02","270"
"02270",2,50,133,2005,"02","270"
"02270",2,45,187,2005,"02","270"
"02270",2,35,236,2005,"02","270"
"02270",2,30,201,2005,"02","270"
"02270",2,25,244,2005,"02","270"
"02270",2,20,329,2005,"02","270"
"02270",2,15,434,2005,"02","270"
"02232",2,85,18,2005,"02","232"
"02232",2,80,21,2005,"02","232"
"02232",2,75,27,2005,"02","232"
"02232",2,70,22,2005,"02","232"
"02232",2,65,50,2005,"02","232"
"02232",2,55,132,2005,"02","232"
"02232",2,50,138,2005,"02","232"
"02232",2,40,125,2005,"02","232"
"02232",2,35,81,2005,"02","232"
"02232",2,30,81,2005,"02","232"
"02232",2,25,96,2005,"02","232"
"02232",2,20,86,2005,"02","232"
"02232",2,15,109,2005,"02","232"
"02232",2,10,103,2005,"02","232"
"02232",2,5,85,2005,"02","232"
"02232",2,0,92,2005,"02","232"
"02201",2,85,18,2005,"02","201"
"02201",2,75,40,2005,"02","201"
"02201",2,70,46,2005,"02","201"
"02201",2,65,73,2005,"02","201"
"02201",2,55,155,2005,"02","201"
"02201",2,40,231,2005,"02","201"
"02201",2,30,155,2005,"02","201"
"02280",2,25,125,2005,"02","280"
"46113",2,80,47,2005,"46","113"
"02201",2,50,229,2005,"02","201"
"02232",1,5,84,2005,"02","232"
"46113",2,70,105,2005,"46","113"
"46113",2,10,756,2005,"46","113"
"02201",1,30,164,2005,"02","201"
"02280",2,40,241,2005,"02","280"
"02280",1,25,133,2005,"02","280"
"02201",2,25,135,2005,"02","201"
"46113",1,75,44,2005,"46","113"
"46113",1,55,227,2005,"46","113"
"46113",1,45,357,2005,"46","113"
"46113",1,35,375,2005,"46","113"
"46113",1,30,428,2005,"46","113"
"46113",1,25,434,2005,"46","113"
"46113",1,20,662,2005,"46","113"
"46113",1,15,797,2005,"46","113"
"46113",1,5,677,2005,"46","113"
"02201",1,40,236,2005,"02","201"
"46113",1,65,122,2005,"46","113"
"02280",1,10,238,2005,"02","280"
"02270",2,5,325,2005,"02","270"
"02270",1,65,63,2005,"02","270"
"46113",1,0,873,2005,"46","113"
"02280",1,50,307,2005,"02","280"
"02201",1,15,215,2005,"02","201"
"02201",2,15,216,2005,"02","201"
"02270",1,70,56,2005,"02","270"
"46113",1,50,241,2005,"46","113"
"02280",2,5,191,2005,"02","280"
"02232",1,85,8,2005,"02","232"
"02270",2,60,83,2005,"02","270"
"02270",1,20,327,2005,"02","270"
"02201",1,80,27,2005,"02","201"
"46113",1,70,82,2005,"46","113"
"02270",1,25,247,2005,"02","270"
"02232",2,60,88,2005,"02","232"
"46113",1,10,834,2005,"46","113"
"02270",1,30,213,2005,"02","270"
"02280",1,40,237,2005,"02","280"
"02201",2,35,167,2005,"02","201"
"02270",2,65,64,2005,"02","270"
"02201",1,55,226,2005,"02","201"
"02232",1,10,133,2005,"02","232"
"02270",1,85,6,2005,"02","270"
"02232",1,55,146,2005,"02","232"
"02270",1,45,232,2005,"02","270"
"02201",2,45,249,2005,"02","201"
"02201",1,0,154,2005,"02","201"
"02270",1,60,97,2005,"02","270"
"02270",1,40,219,2005,"02","270"
"02201",1,5,207,2005,"02","201"
"02232",1,40,138,2005,"02","232"
"02232",1,50,158,2005,"02","232"
"02201",2,5,190,2005,"02","201"
"02232",1,30,87,2005,"02","232"
"02232",1,20,103,2005,"02","232"
"02270",1,75,28,2005,"02","270"
"02280",1,75,72,2005,"02","280"
"46113",2,60,180,2005,"46","113"
"46113",1,85,14,2005,"46","113"
"02280",2,30,152,2005,"02","280"
"46113",1,60,120,2005,"46","113"
"02280",2,75,67,2005,"02","280"
"46113",2,75,78,2005,"46","113"
"02232",1,0,44,2005,"02","232"
"02201",1,45,314,2005,"02","201"
"02232",1,80,21,2005,"02","232"
"02270",1,0,517,2005,"02","270"
"46113",2,35,333,2005,"46","113"
"46113",1,40,392,2005,"46","113"
"02270",1,55,145,2005,"02","270"
"02232",2,45,141,2005,"02","232"
"02270",2,10,414,2005,"02","270"
"02201",1,65,109,2005,"02","201"
"02280",1,0,170,2005,"02","280"
"02201",1,60,182,2005,"02","201"
"02270",1,10,472,2005,"02","270"
"02270",2,70,56,2005,"02","270"
"02201",1,20,208,2005,"02","201"
"02201",2,60,133,2005,"02","201"
"02201",1,10,235,2005,"02","201"
"02280",1,65,122,2005,"02","280"
"02280",1,60,180,2005,"02","280"
"02232",1,45,165,2005,"02","232"
"02232",1,15,102,2005,"02","232"
"02280",1,70,66,2005,"02","280"
"02232",1,25,93,2005,"02","232"
"02201",1,50,308,2005,"02","201"
"02201",1,85,8,2005,"02","201"
"02232",1,35,124,2005,"02","232"
"02201",1,70,73,2005,"02","201"
"02201",1,35,176,2005,"02","201"
"02280",2,15,244,2005,"02","280"
"02280",1,30,152,2005,"02","280"
"02280",1,5,218,2005,"02","280"
"02270",2,40,191,2005,"02","270"
"02270",1,35,228,2005,"02","270"
"02270",1,15,478,2005,"02","270"
"02280",2,85,51,2005,"02","280"
"02270",1,50,151,2005,"02","270"
"02280",1,45,314,2005,"02","280"
"02280",2,60,144,2005,"02","280"
"02280",1,55,245,2005,"02","280"
"02270",1,80,28,2005,"02","270"
"02232",1,75,25,2005,"02","232"
"02232",1,65,68,2005,"02","232"
"02201",1,25,188,2005,"02","201"
"02201",2,20,170,2005,"02","201"
"02201",1,75,40,2005,"02","201"
